D:\OneDrive\Particular\UFPR\SimulaçãoLogistica\TP01\TP01Final\venv\Scripts\python.exe D:/OneDrive/Particular/UFPR/SimulaçãoLogistica/TP01/TP01Final/main.py
Melhor caminho: [['A', 'E', 3.59], ['E', 'H', 5.64], ['H', 'J', 2.41], ['J', 'Z', 1.14]]
Melhor caminho: [['A', 'E', 3.51], ['E', 'H', 6.02], ['H', 'J', 2.19], ['J', 'Z', 1.69]]
Melhor caminho: [['A', 'B', 1.8], ['B', 'F', 3.27], ['F', 'G', 3.6], ['G', 'Z', 3.5]]
Melhor caminho: [['A', 'C', 5.92], ['C', 'I', 4.81], ['I', 'L', 1.66], ['L', 'Z', 1.52]]
Melhor caminho: [['A', 'C', 5.69], ['C', 'I', 4.79], ['I', 'L', 1.81], ['L', 'Z', 1.2]]
Melhor caminho: [['A', 'B', 0.28], ['B', 'F', 3.68], ['F', 'G', 3.35], ['G', 'Z', 2.97]]
Melhor caminho: [['A', 'B', 1.92], ['B', 'F', 2.93], ['F', 'G', 4.3], ['G', 'Z', 3.87]]
Melhor caminho: [['A', 'C', 5.94], ['C', 'D', 1.61], ['D', 'K', 4.8], ['K', 'L', 0.29], ['L', 'Z', 1.15]]
Melhor caminho: [['A', 'E', 2.09], ['E', 'H', 6.52], ['H', 'J', 2.5], ['J', 'Z', 2.5]]
Melhor caminho: [['A', 'C', 6.25], ['C', 'D', 1.98], ['D', 'H', 3.34], ['H', 'J', 2.65], ['J', 'Z', 1.41]]
Melhor caminho: [['A', 'B', 0.08], ['B', 'F', 4.41], ['F', 'G', 4.79], ['G', 'Z', 3.01]]
Melhor caminho: [['A', 'E', 3.06], ['E', 'H', 6.26], ['H', 'J', 2.44], ['J', 'Z', 1.95]]
Melhor caminho: [['A', 'B', 1.08], ['B', 'F', 4.67], ['F', 'G', 2.72], ['G', 'Z', 3.61]]
Melhor caminho: [['A', 'B', 0.11], ['B', 'F', 3.34], ['F', 'G', 6.25], ['G', 'Z', 2.57]]
Melhor caminho: [['A', 'B', 1.43], ['B', 'F', 3.02], ['F', 'G', 4.65], ['G', 'Z', 2.5]]
Melhor caminho: [['A', 'B', 0.01], ['B', 'F', 3.46], ['F', 'G', 4.75], ['G', 'Z', 2.3]]
Melhor caminho: [['A', 'B', 0.59], ['B', 'F', 2.85], ['F', 'G', 4.95], ['G', 'Z', 2.58]]
Melhor caminho: [['A', 'C', 6.46], ['C', 'I', 4.12], ['I', 'L', 1.31], ['L', 'Z', 1.38]]
Melhor caminho: [['A', 'B', 0.71], ['B', 'F', 3.35], ['F', 'G', 5.76], ['G', 'Z', 3.26]]
Melhor caminho: [['A', 'C', 4.0], ['C', 'I', 2.85], ['I', 'L', 1.72], ['L', 'Z', 2.09]]
Melhor caminho: [['A', 'B', 1.19], ['B', 'F', 3.88], ['F', 'G', 5.59], ['G', 'Z', 3.52]]
