D:\OneDrive\Particular\UFPR\SimulaçãoLogistica\TP01\TP01Final\venv\Scripts\python.exe D:/OneDrive/Particular/UFPR/SimulaçãoLogistica/TP01/TP01Final/main.py
Melhor caminho: [['A', 'B', 1.49], ['B', 'F', 2.7], ['F', 'G', 5.7], ['G', 'Z', 2.13]]
Melhor caminho: [['A', 'B', 0.48], ['B', 'F', 2.38], ['F', 'G', 4.68], ['G', 'Z', 2.45]]
Melhor caminho: [['A', 'B', 1.31], ['B', 'F', 4.52], ['F', 'G', 4.52], ['G', 'Z', 2.47]]
Melhor caminho: [['A', 'B', 0.27], ['B', 'F', 2.86], ['F', 'G', 3.89], ['G', 'Z', 2.68]]
Melhor caminho: [['A', 'E', 3.7], ['E', 'H', 4.11], ['H', 'J', 3.01], ['J', 'Z', 1.27]]
Melhor caminho: [['A', 'B', 1.05], ['B', 'F', 3.1], ['F', 'G', 5.68], ['G', 'Z', 2.91]]
Melhor caminho: [['A', 'B', 0.87], ['B', 'F', 2.21], ['F', 'G', 5.19], ['G', 'Z', 2.27]]
Melhor caminho: [['A', 'B', 0.53], ['B', 'F', 5.14], ['F', 'G', 5.82], ['G', 'Z', 2.61]]
Melhor caminho: [['A', 'B', 1.04], ['B', 'F', 3.0], ['F', 'G', 4.83], ['G', 'Z', 2.62]]
Melhor caminho: [['A', 'B', 1.25], ['B', 'F', 3.88], ['F', 'G', 7.11], ['G', 'Z', 2.74]]
Melhor caminho: [['A', 'B', 0.89], ['B', 'F', 4.07], ['F', 'G', 2.64], ['G', 'Z', 2.09]]
Melhor caminho: [['A', 'C', 5.04], ['C', 'D', 1.28], ['D', 'H', 3.24], ['H', 'J', 2.52], ['J', 'Z', 1.79]]
Melhor caminho: [['A', 'B', 1.43], ['B', 'F', 3.91], ['F', 'G', 4.21], ['G', 'Z', 2.77]]
Melhor caminho: [['A', 'E', 2.2], ['E', 'H', 4.64], ['H', 'J', 2.47], ['J', 'Z', 1.63]]
Melhor caminho: [['A', 'E', 2.87], ['E', 'F', 2.91], ['F', 'G', 4.98], ['G', 'Z', 2.02]]
Melhor caminho: [['A', 'E', 2.89], ['E', 'H', 3.76], ['H', 'J', 3.75], ['J', 'Z', 1.87]]
Melhor caminho: [['A', 'E', 2.28], ['E', 'F', 2.72], ['F', 'G', 4.76], ['G', 'Z', 2.84]]
Melhor caminho: [['A', 'C', 5.55], ['C', 'I', 3.01], ['I', 'L', 2.89], ['L', 'Z', 1.34]]
Melhor caminho: [['A', 'B', 0.31], ['B', 'F', 2.74], ['F', 'G', 6.24], ['G', 'Z', 2.31]]
Melhor caminho: [['A', 'B', 0.04], ['B', 'F', 4.71], ['F', 'G', 3.99], ['G', 'Z', 3.65]]
Melhor caminho: [['A', 'B', 0.8], ['B', 'F', 3.09], ['F', 'G', 5.89], ['G', 'Z', 2.79]]
Melhor caminho: [['A', 'E', 2.19], ['E', 'F', 3.96], ['F', 'G', 3.95], ['G', 'Z', 3.58]]
Melhor caminho: [['A', 'C', 5.32], ['C', 'I', 4.53], ['I', 'L', 1.07], ['L', 'Z', 2.15]]
Melhor caminho: [['A', 'E', 2.34], ['E', 'H', 6.87], ['H', 'J', 3.68], ['J', 'Z', 1.4]]
Melhor caminho: [['A', 'B', 0.41], ['B', 'F', 4.43], ['F', 'G', 6.11], ['G', 'Z', 3.02]]
Melhor caminho: [['A', 'C', 4.94], ['C', 'D', 2.44], ['D', 'H', 2.96], ['H', 'G', 2.85], ['G', 'Z', 3.38]]
Melhor caminho: [['A', 'B', 1.31], ['B', 'F', 3.52], ['F', 'G', 4.56], ['G', 'Z', 3.16]]
Melhor caminho: [['A', 'B', 0.65], ['B', 'F', 2.33], ['F', 'G', 3.71], ['G', 'Z', 2.61]]
Melhor caminho: [['A', 'E', 2.91], ['E', 'H', 3.46], ['H', 'J', 3.81], ['J', 'Z', 1.44]]
Melhor caminho: [['A', 'E', 2.8], ['E', 'H', 5.98], ['H', 'J', 3.08], ['J', 'Z', 1.55]]
Melhor caminho: [['A', 'E', 2.15], ['E', 'H', 4.16], ['H', 'J', 2.3], ['J', 'Z', 1.42]]
Melhor caminho: [['A', 'B', 1.19], ['B', 'F', 3.07], ['F', 'G', 3.89], ['G', 'Z', 3.22]]
Melhor caminho: [['A', 'B', 0.2], ['B', 'F', 2.32], ['F', 'G', 3.98], ['G', 'Z', 2.65]]
Melhor caminho: [['A', 'C', 5.0], ['C', 'I', 4.2], ['I', 'L', 1.75], ['L', 'Z', 1.82]]
Melhor caminho: [['A', 'B', 1.82], ['B', 'F', 3.13], ['F', 'G', 4.45], ['G', 'Z', 3.16]]
Melhor caminho: [['A', 'B', 0.32], ['B', 'F', 3.74], ['F', 'G', 5.28], ['G', 'Z', 2.81]]
Melhor caminho: [['A', 'B', 1.06], ['B', 'F', 2.63], ['F', 'G', 5.36], ['G', 'Z', 2.17]]
Melhor caminho: [['A', 'B', 1.8], ['B', 'F', 5.25], ['F', 'G', 4.98], ['G', 'Z', 3.39]]
Melhor caminho: [['A', 'B', 0.61], ['B', 'F', 2.44], ['F', 'G', 5.5], ['G', 'Z', 3.38]]
Melhor caminho: [['A', 'B', 1.01], ['B', 'F', 2.62], ['F', 'G', 3.98], ['G', 'Z', 3.12]]
Melhor caminho: [['A', 'B', 1.49], ['B', 'F', 3.1], ['F', 'G', 5.32], ['G', 'Z', 3.52]]
Melhor caminho: [['A', 'B', 0.72], ['B', 'F', 2.88], ['F', 'G', 4.58], ['G', 'Z', 3.21]]
Melhor caminho: [['A', 'B', 0.94], ['B', 'F', 2.33], ['F', 'G', 3.42], ['G', 'Z', 3.94]]
Melhor caminho: [['A', 'B', 0.42], ['B', 'F', 3.14], ['F', 'G', 5.51], ['G', 'Z', 2.49]]
Melhor caminho: [['A', 'B', 1.83], ['B', 'F', 2.88], ['F', 'G', 5.64], ['G', 'Z', 2.51]]
Melhor caminho: [['A', 'B', 0.97], ['B', 'F', 4.27], ['F', 'G', 5.39], ['G', 'Z', 2.23]]
Melhor caminho: [['A', 'E', 3.68], ['E', 'F', 2.54], ['F', 'G', 5.76], ['G', 'Z', 2.3]]
Melhor caminho: [['A', 'C', 4.97], ['C', 'I', 4.49], ['I', 'L', 1.46], ['L', 'Z', 1.68]]
Melhor caminho: [['A', 'B', 0.79], ['B', 'F', 4.45], ['F', 'G', 5.31], ['G', 'Z', 2.48]]
Melhor caminho: [['A', 'B', 0.04], ['B', 'F', 4.92], ['F', 'G', 5.99], ['G', 'Z', 2.99]]
Melhor caminho: [['A', 'B', 0.92], ['B', 'F', 2.57], ['F', 'G', 4.13], ['G', 'Z', 3.01]]
Melhor caminho: [['A', 'B', 1.99], ['B', 'F', 5.89], ['F', 'G', 4.97], ['G', 'Z', 2.89]]
