D:\OneDrive\Particular\UFPR\SimulaçãoLogistica\TP01\TP01Final\venv\Scripts\python.exe D:/OneDrive/Particular/UFPR/SimulaçãoLogistica/TP01/TP01Final/main.py
Melhor caminho: [['A', 'B', 1.28], ['B', 'F', 2.17], ['F', 'G', 5.08], ['G', 'Z', 3.17]]
Melhor caminho: [['A', 'C', 5.98], ['C', 'I', 2.44], ['I', 'L', 1.76], ['L', 'Z', 1.88]]
Melhor caminho: [['A', 'B', 0.74], ['B', 'F', 4.32], ['F', 'G', 3.9], ['G', 'Z', 2.64]]
Melhor caminho: [['A', 'C', 4.16], ['C', 'D', 2.61], ['D', 'K', 1.91], ['K', 'L', 0.85], ['L', 'Z', 2.48]]
Melhor caminho: [['A', 'B', 0.97], ['B', 'F', 2.07], ['F', 'G', 4.61], ['G', 'Z', 3.98]]
Melhor caminho: [['A', 'B', 1.44], ['B', 'F', 2.61], ['F', 'G', 4.21], ['G', 'Z', 3.25]]
Melhor caminho: [['A', 'B', 0.58], ['B', 'F', 5.04], ['F', 'G', 5.08], ['G', 'Z', 2.69]]
Melhor caminho: [['A', 'B', 0.62], ['B', 'F', 3.27], ['F', 'G', 5.45], ['G', 'Z', 2.26]]
Melhor caminho: [['A', 'C', 3.96], ['C', 'I', 4.99], ['I', 'L', 1.01], ['L', 'Z', 1.57]]
Melhor caminho: [['A', 'C', 4.72], ['C', 'I', 3.97], ['I', 'L', 1.32], ['L', 'Z', 2.99]]
Melhor caminho: [['A', 'B', 0.78], ['B', 'F', 2.57], ['F', 'G', 5.62], ['G', 'Z', 3.61]]
Melhor caminho: [['A', 'B', 0.98], ['B', 'F', 3.72], ['F', 'G', 4.69], ['G', 'Z', 3.39]]
Melhor caminho: [['A', 'B', 1.75], ['B', 'F', 3.35], ['F', 'G', 4.16], ['G', 'Z', 3.94]]
Melhor caminho: [['A', 'B', 1.88], ['B', 'F', 5.26], ['F', 'G', 4.15], ['G', 'Z', 2.62]]
Melhor caminho: [['A', 'B', 1.93], ['B', 'F', 2.6], ['F', 'G', 6.39], ['G', 'Z', 2.28]]
Melhor caminho: [['A', 'B', 0.66], ['B', 'F', 3.11], ['F', 'G', 5.73], ['G', 'Z', 2.29]]
Melhor caminho: [['A', 'C', 4.55], ['C', 'I', 3.23], ['I', 'L', 1.54], ['L', 'Z', 1.03]]
Melhor caminho: [['A', 'B', 0.66], ['B', 'F', 5.17], ['F', 'G', 6.77], ['G', 'Z', 2.15]]
Melhor caminho: [['A', 'B', 0.41], ['B', 'F', 4.74], ['F', 'G', 4.23], ['G', 'Z', 3.24]]
Melhor caminho: [['A', 'B', 1.97], ['B', 'F', 5.84], ['F', 'G', 5.85], ['G', 'Z', 3.57]]
Melhor caminho: [['A', 'B', 0.34], ['B', 'F', 2.39], ['F', 'G', 4.38], ['G', 'Z', 2.8]]
Melhor caminho: [['A', 'B', 0.48], ['B', 'F', 3.21], ['F', 'G', 4.67], ['G', 'Z', 2.91]]
Melhor caminho: [['A', 'B', 1.93], ['B', 'F', 4.59], ['F', 'G', 4.51], ['G', 'Z', 2.77]]
Melhor caminho: [['A', 'B', 1.79], ['B', 'F', 2.18], ['F', 'G', 2.81], ['G', 'Z', 3.2]]
Melhor caminho: [['A', 'B', 1.61], ['B', 'F', 5.29], ['F', 'G', 4.88], ['G', 'Z', 2.32]]
Melhor caminho: [['A', 'E', 2.07], ['E', 'H', 5.86], ['H', 'J', 3.11], ['J', 'Z', 2.34]]
Melhor caminho: [['A', 'E', 2.2], ['E', 'H', 4.6], ['H', 'J', 2.4], ['J', 'Z', 2.3]]
Melhor caminho: [['A', 'B', 1.23], ['B', 'F', 4.75], ['F', 'G', 5.35], ['G', 'Z', 3.96]]
Melhor caminho: [['A', 'B', 0.36], ['B', 'F', 3.8], ['F', 'G', 6.73], ['G', 'Z', 3.8]]
Melhor caminho: [['A', 'C', 4.44], ['C', 'D', 1.69], ['D', 'K', 4.45], ['K', 'L', 0.86], ['L', 'Z', 1.58]]
Melhor caminho: [['A', 'B', 1.9], ['B', 'F', 2.32], ['F', 'G', 4.01], ['G', 'Z', 2.51]]
Melhor caminho: [['A', 'E', 2.28], ['E', 'H', 7.15], ['H', 'J', 2.55], ['J', 'Z', 1.72]]
Melhor caminho: [['A', 'B', 0.99], ['B', 'F', 2.44], ['F', 'G', 4.47], ['G', 'Z', 3.95]]
